Patient_ID,Animal_Type,Breed,Age,Gender,Visit_Date,Disease,Treatment,Doctor,Treatment_Cost,Treatment_Days,Outcome,Follow_Up,Location
VET0032,Cat,Bengal,4,Female,2025-02-16,Parasite Infection,Deworming,Dr. Priya,1500,4,Recovered,No,Coimbatore
VET0033,Goat,Black Bengal,5,Female,2025-04-27,Injury,Surgery,Dr. Arun,9400,11,Recovered,No,Coimbatore
VET0034,Dog,German Shepherd,6,Female,2026-08-24,Fever,Medication,Dr. Rahul,1200,6,Recovered,No,Madurai
VET0035,Dog,Beagle,3,Male,2025-03-27,Dental Problem,Dental Care,Dr. Arun,4700,6,Recovered,Yes,Coimbatore
VET0036,Bird,Parrot,10,Female,2026-03-08,Injury,Surgery,Dr. Rahul,9900,11,Recovered,No,Coimbatore
VET0037,Cat,Indian Shorthair,4,Male,2026-03-18,Fracture,Surgery,Dr. Priya,16800,15,Recovered,No,Coimbatore
VET0038,Cat,Maine Coon,12,Female,2026-01-15,Parasite Infection,Deworming,Dr. Karthik,2200,1,Improving,Yes,Tiruppur
VET0039,Dog,Labrador,11,Female,2025-10-12,Ear Infection,Medication,Dr. Karthik,1500,7,Recovered,Yes,Madurai
VET0040,Dog,German Shepherd,10,Female,2026-08-25,Digestive Issues,Medication,Dr. Priya,2200,4,Recovered,No,Madurai
VET0041,Cat,Indian Shorthair,9,Male,2026-01-29,Skin Infection,Medication,Dr. Karthik,3300,4,Recovered,No,Coimbatore
VET0042,Dog,Indian Spitz,12,Male,2026-06-09,Dental Problem,Dental Care,Dr. Arun,4300,2,Recovered,No,Chennai
VET0043,Goat,Jamunapari,19,Male,2026-01-31,Fever,Medication,Dr. Arun,1200,2,Improving,Yes,Coimbatore
VET0044,Bird,Lovebird,10,Male,2025-05-24,Injury,Surgery,Dr. Karthik,8400,9,Recovered,No,Coimbatore
VET0045,Rabbit,Angora,5,Female,2025-07-05,Parasite Infection,Deworming,Dr. Karthik,1600,2,Recovered,No,Madurai
VET0046,Bird,Parrot,1,Male,2025-08-18,Respiratory Infection,Medication,Dr. Priya,3300,10,Improving,Yes,Coimbatore
VET0047,Rabbit,Lop,5,Female,2025-12-05,Skin Infection,Medication,Dr. Arun,3100,8,Recovered,No,Chennai
VET0048,Dog,Beagle,13,Female,2025-07-01,Skin Infection,Medication,Dr. Karthik,1600,6,Recovered,No,Coimbatore
VET0049,Dog,Indian Spitz,12,Female,2025-12-27,Skin Infection,Medication,Dr. Arun,3400,4,Recovered,No,Coimbatore
VET0050,Dog,Labrador,6,Female,2026-07-10,Fever,Medication,Dr. Rahul,1400,6,Recovered,No,Tiruppur
VET0051,Dog,Golden Retriever,9,Female,2025-02-16,Respiratory Infection,Medication,Dr. Rahul,3000,5,Recovered,No,Madurai
VET0052,Dog,Labrador,10,Female,2025-12-24,Vaccination,Vaccination,Dr. Meena,1400,1,Recovered,No,Madurai
VET0053,Dog,Beagle,12,Male,2025-02-10,Dental Problem,Dental Care,Dr. Arun,6800,4,Recovered,No,Coimbatore
VET0054,Cat,Indian Shorthair,3,Male,2026-01-25,Skin Infection,Medication,Dr. Arun,3100,6,Improving,Yes,Coimbatore
VET0055,Rabbit,Lop,5,Male,2026-01-09,Dental Problem,Dental Care,Dr. Arun,5100,3,Follow-up Required,Yes,Coimbatore
VET0056,Cow,Jersey,17,Male,2025-04-15,Vaccination,Vaccination,Dr. Meena,1600,1,Recovered,Yes,Salem
VET0057,Bird,Cockatiel,7,Male,2026-07-19,Vaccination,Vaccination,Dr. Arun,1100,1,Recovered,No,Coimbatore
VET0058,Bird,Parrot,1,Male,2026-05-03,Fever,Medication,Dr. Priya,800,5,Recovered,Yes,Chennai
VET0059,Cow,Gir,1,Female,2025-08-24,Fever,Medication,Dr. Rahul,1100,4,Recovered,Yes,Madurai
VET0060,Cow,Gir,2,Female,2025-11-02,Fracture,Surgery,Dr. Priya,13200,32,Recovered,No,Coimbatore
VET0061,Cat,Bengal,10,Male,2025-03-22,Fever,Medication,Dr. Priya,900,6,Recovered,No,Salem
VET0062,Dog,Pug,5,Female,2025-07-24,Vaccination,Vaccination,Dr. Arun,600,1,Recovered,No,Chennai
VET0063,Cat,Maine Coon,8,Female,2025-12-26,Skin Infection,Medication,Dr. Karthik,2300,4,Critical,Yes,Chennai
VET0064,Bird,Parrot,3,Male,2025-01-05,Fever,Medication,Dr. Arun,1400,3,Recovered,Yes,Chennai
VET0065,Dog,Indian Spitz,14,Female,2025-03-14,Digestive Issues,Medication,Dr. Karthik,1900,3,Recovered,No,Tiruppur
VET0066,Dog,German Shepherd,8,Male,2025-09-10,Fracture,Surgery,Dr. Priya,12800,29,Recovered,No,Salem
VET0067,Cat,Siamese,14,Male,2025-11-08,Respiratory Infection,Medication,Dr. Karthik,2600,11,Recovered,No,Chennai
VET0068,Dog,German Shepherd,3,Male,2025-07-11,Digestive Issues,Medication,Dr. Arun,2800,7,Recovered,No,Coimbatore
VET0069,Dog,Beagle,13,Female,2025-01-25,Fever,Medication,Dr. Priya,800,2,Recovered,Yes,Chennai
VET0070,Cat,Bengal,9,Male,2026-06-02,Skin Infection,Medication,Dr. Karthik,2100,5,Recovered,No,Tiruppur
VET0071,Cat,Persian,5,Female,2026-08-05,Skin Infection,Medication,Dr. Arun,3000,7,Improving,Yes,Coimbatore
VET0072,Cat,Indian Shorthair,15,Female,2025-11-18,Vaccination,Vaccination,Dr. Arun,900,1,Recovered,Yes,Chennai
VET0073,Cow,Holstein Friesian,15,Male,2026-01-27,Vaccination,Vaccination,Dr. Priya,1500,1,Recovered,No,Coimbatore
VET0074,Cat,Persian,12,Male,2025-01-01,Respiratory Infection,Medication,Dr. Karthik,3900,10,Recovered,No,Tiruppur
VET0075,Dog,Golden Retriever,2,Female,2025-01-10,Skin Infection,Medication,Dr. Priya,1700,10,Recovered,No,Coimbatore
VET0076,Dog,Labrador,11,Male,2026-07-04,Respiratory Infection,Medication,Dr. Meena,3800,7,Recovered,No,Tiruppur
VET0077,Dog,Golden Retriever,12,Male,2026-07-01,Vaccination,Vaccination,Dr. Rahul,1000,1,Recovered,Yes,Coimbatore
VET0078,Goat,Jamunapari,3,Male,2025-06-14,Parasite Infection,Deworming,Dr. Meena,700,3,Recovered,No,Coimbatore
VET0079,Cat,Siamese,7,Female,2026-06-10,Parasite Infection,Deworming,Dr. Arun,1400,3,Recovered,No,Coimbatore
VET0080,Rabbit,New Zealand White,5,Female,2025-04-14,Dental Problem,Dental Care,Dr. Karthik,6000,4,Recovered,No,Coimbatore
VET0081,Dog,Pug,14,Male,2026-02-24,Injury,Surgery,Dr. Rahul,5700,10,Improving,Yes,Coimbatore
VET0082,Cow,Holstein Friesian,2,Female,2026-06-01,Fever,Medication,Dr. Meena,1600,6,Recovered,No,Coimbatore
VET0083,Goat,Boer,4,Female,2025-05-10,Injury,Surgery,Dr. Karthik,3500,7,Recovered,No,Chennai
VET0084,Goat,Jamunapari,6,Female,2025-01-23,Fracture,Surgery,Dr. Priya,7800,28,Recovered,No,Madurai
VET0085,Dog,Beagle,12,Female,2025-11-20,Dental Problem,Dental Care,Dr. Priya,4900,6,Improving,Yes,Salem
VET0086,Dog,Labrador,13,Female,2025-10-23,Digestive Issues,Medication,Dr. Arun,2500,8,Referred,Yes,Coimbatore
VET0087,Bird,Cockatiel,7,Male,2025-01-01,Fever,Medication,Dr. Arun,1300,4,Recovered,No,Salem
VET0088,Dog,Labrador,9,Male,2026-07-29,Skin Infection,Medication,Dr. Priya,1700,4,Critical,Yes,Chennai
VET0089,Cat,Maine Coon,11,Male,2025-06-28,Injury,Surgery,Dr. Rahul,4700,12,Recovered,Yes,Tiruppur
VET0090,Dog,Golden Retriever,12,Female,2026-04-14,Ear Infection,Medication,Dr. Arun,2200,4,Follow-up Required,Yes,Chennai
VET0091,Goat,Black Bengal,17,Male,2025-05-21,Vaccination,Vaccination,Dr. Rahul,1400,1,Recovered,No,Madurai
VET0092,Dog,Golden Retriever,14,Male,2025-06-24,Skin Infection,Medication,Dr. Karthik,2500,5,Recovered,No,Coimbatore
VET0093,Dog,Pug,3,Female,2026-04-03,Skin Infection,Medication,Dr. Meena,3400,5,Recovered,Yes,Salem
VET0094,Goat,Malabari,3,Female,2026-03-19,Skin Infection,Medication,Dr. Rahul,3200,8,Recovered,No,Coimbatore
VET0095,Cat,Siamese,8,Female,2025-10-15,Parasite Infection,Deworming,Dr. Meena,1800,3,Follow-up Required,Yes,Madurai
VET0096,Dog,German Shepherd,7,Male,2025-05-31,Skin Infection,Medication,Dr. Rahul,2600,6,Recovered,No,Chennai
VET0097,Rabbit,New Zealand White,10,Male,2026-01-21,Ear Infection,Medication,Dr. Rahul,1900,7,Improving,Yes,Coimbatore
VET0098,Cat,Siamese,3,Female,2026-05-21,Fracture,Surgery,Dr. Karthik,8300,31,Critical,Yes,Tiruppur
VET0099,Goat,Boer,17,Female,2026-06-05,Injury,Surgery,Dr. Karthik,6000,6,Recovered,No,Chennai
VET0100,Dog,Pug,7,Male,2025-03-16,Fever,Medication,Dr. Arun,1600,3,Recovered,No,Coimbatore
VET0101,Cat,Persian,12,Male,2025-12-08,Injury,Surgery,Dr. Priya,5500,13,Recovered,No,Madurai
VET0102,Cat,Siamese,10,Male,2026-04-21,Vaccination,Vaccination,Dr. Karthik,1200,1,Recovered,No,Coimbatore
VET0103,Dog,Golden Retriever,5,Male,2025-10-23,Fever,Medication,Dr. Karthik,800,5,Improving,Yes,Tiruppur
VET0104,Dog,Indian Spitz,8,Male,2026-07-02,Skin Infection,Medication,Dr. Arun,2200,7,Recovered,No,Chennai
VET0105,Cat,Siamese,2,Male,2025-03-14,Ear Infection,Medication,Dr. Priya,1900,4,Recovered,No,Chennai
VET0106,Dog,German Shepherd,12,Male,2026-04-23,Parasite Infection,Deworming,Dr. Karthik,800,2,Recovered,No,Tiruppur
VET0107,Dog,German Shepherd,1,Male,2025-01-12,Respiratory Infection,Medication,Dr. Rahul,3100,12,Critical,Yes,Salem
VET0108,Cow,Sahiwal,18,Male,2025-09-25,Parasite Infection,Deworming,Dr. Rahul,2300,3,Follow-up Required,Yes,Madurai
VET0109,Dog,Labrador,5,Female,2025-09-07,Fever,Medication,Dr. Karthik,1100,6,Improving,Yes,Tiruppur
VET0110,Bird,Budgerigar,4,Male,2026-02-06,Parasite Infection,Deworming,Dr. Karthik,2100,2,Recovered,No,Chennai
VET0111,Cat,Maine Coon,8,Female,2025-07-02,Respiratory Infection,Medication,Dr. Rahul,2100,11,Recovered,No,Madurai
VET0112,Cow,Jersey,10,Female,2026-03-26,Fracture,Surgery,Dr. Karthik,15500,17,Critical,Yes,Tiruppur
VET0113,Cat,Maine Coon,14,Female,2025-01-29,Skin Infection,Medication,Dr. Arun,2400,4,Recovered,No,Chennai
VET0114,Dog,Labrador,9,Male,2025-12-25,Respiratory Infection,Medication,Dr. Arun,2100,9,Improving,Yes,Coimbatore
VET0115,Dog,Indian Spitz,2,Female,2025-10-20,Parasite Infection,Deworming,Dr. Arun,2300,1,Referred,Yes,Coimbatore
VET0116,Dog,Beagle,10,Male,2025-03-02,Fever,Medication,Dr. Karthik,1700,5,Recovered,No,Tiruppur
VET0117,Bird,Budgerigar,8,Female,2026-07-29,Vaccination,Vaccination,Dr. Priya,1300,1,Recovered,No,Coimbatore
VET0118,Dog,German Shepherd,6,Male,2025-02-23,Parasite Infection,Deworming,Dr. Arun,1700,1,Recovered,No,Coimbatore
VET0119,Dog,German Shepherd,1,Female,2025-01-03,Injury,Surgery,Dr. Arun,11400,10,Recovered,No,Chennai
VET0120,Cat,Siamese,8,Male,2026-06-25,Injury,Surgery,Dr. Priya,4700,13,Improving,Yes,Salem
VET0121,Cat,Indian Shorthair,2,Female,2025-05-04,Respiratory Infection,Medication,Dr. Priya,2700,10,Recovered,No,Chennai
VET0122,Bird,Lovebird,5,Male,2026-08-16,Ear Infection,Medication,Dr. Priya,2300,8,Recovered,No,Chennai
VET0123,Cat,Maine Coon,1,Female,2025-08-04,Fracture,Surgery,Dr. Karthik,14300,30,Recovered,No,Coimbatore
VET0124,Dog,Pug,10,Female,2025-07-10,Respiratory Infection,Medication,Dr. Priya,4200,8,Recovered,No,Chennai
VET0125,Goat,Jamunapari,11,Male,2026-07-05,Skin Infection,Medication,Dr. Rahul,3400,5,Improving,Yes,Chennai
VET0126,Dog,Pug,1,Male,2025-01-17,Ear Infection,Medication,Dr. Karthik,1500,5,Recovered,No,Coimbatore
VET0127,Dog,German Shepherd,2,Male,2026-02-16,Injury,Surgery,Dr. Rahul,4000,19,Follow-up Required,Yes,Salem
VET0128,Dog,Beagle,11,Female,2025-01-17,Skin Infection,Medication,Dr. Arun,2000,9,Improving,Yes,Coimbatore
VET0129,Dog,German Shepherd,15,Male,2025-08-15,Fracture,Surgery,Dr. Karthik,12000,26,Recovered,Yes,Coimbatore
VET0130,Dog,German Shepherd,13,Female,2025-04-09,Fever,Medication,Dr. Rahul,1100,2,Recovered,No,Coimbatore
VET0131,Goat,Black Bengal,11,Male,2026-01-17,Ear Infection,Medication,Dr. Rahul,1900,7,Improving,Yes,Madurai
VET0132,Dog,Labrador,11,Male,2026-07-24,Injury,Surgery,Dr. Karthik,4400,19,Improving,Yes,Coimbatore
VET0133,Cat,Bengal,12,Female,2026-06-23,Dental Problem,Dental Care,Dr. Rahul,3600,5,Recovered,No,Coimbatore
VET0134,Cat,Siamese,3,Male,2026-06-20,Respiratory Infection,Medication,Dr. Arun,2100,7,Recovered,No,Madurai
VET0135,Dog,Labrador,9,Female,2026-05-16,Fever,Medication,Dr. Karthik,900,3,Improving,Yes,Tiruppur
VET0136,Dog,Pug,2,Female,2026-05-10,Skin Infection,Medication,Dr. Arun,2100,9,Recovered,No,Tiruppur
VET0137,Rabbit,New Zealand White,8,Male,2026-02-05,Injury,Surgery,Dr. Meena,10200,13,Recovered,Yes,Madurai
VET0138,Cat,Siamese,2,Male,2026-08-12,Digestive Issues,Medication,Dr. Priya,1300,4,Recovered,Yes,Madurai
VET0139,Goat,Jamunapari,12,Male,2025-11-13,Skin Infection,Medication,Dr. Arun,3400,6,Recovered,No,Madurai
VET0140,Goat,Jamunapari,20,Female,2025-04-21,Ear Infection,Medication,Dr. Meena,1400,6,Critical,Yes,Chennai
VET0141,Cow,Gir,9,Female,2025-01-14,Ear Infection,Medication,Dr. Rahul,2100,5,Recovered,No,Chennai
VET0142,Cat,Maine Coon,4,Male,2025-11-05,Vaccination,Vaccination,Dr. Priya,1100,1,Recovered,No,Madurai
VET0143,Dog,Labrador,12,Female,2025-02-04,Injury,Surgery,Dr. Meena,9700,10,Recovered,No,Coimbatore
VET0144,Bird,Cockatiel,4,Male,2026-05-31,Respiratory Infection,Medication,Dr. Priya,3100,10,Follow-up Required,Yes,Tiruppur
VET0145,Cat,Bengal,2,Female,2026-08-01,Skin Infection,Medication,Dr. Priya,1800,5,Improving,Yes,Tiruppur
VET0146,Dog,Pug,13,Female,2026-07-06,Fever,Medication,Dr. Priya,800,2,Recovered,No,Coimbatore
VET0147,Bird,Budgerigar,6,Male,2026-07-07,Digestive Issues,Medication,Dr. Arun,1500,8,Critical,Yes,Madurai
VET0148,Dog,Labrador,9,Female,2025-03-07,Digestive Issues,Medication,Dr. Meena,2300,7,Recovered,No,Coimbatore
VET0149,Bird,Budgerigar,10,Male,2025-09-27,Fever,Medication,Dr. Arun,1300,3,Recovered,No,Chennai
VET0150,Dog,Golden Retriever,9,Female,2025-10-11,Vaccination,Vaccination,Dr. Rahul,1600,1,Recovered,No,Salem
VET0151,Cow,Sahiwal,15,Female,2025-09-08,Dental Problem,Dental Care,Dr. Rahul,2900,5,Recovered,Yes,Tiruppur
VET0152,Dog,Golden Retriever,5,Male,2025-06-10,Injury,Surgery,Dr. Karthik,4700,16,Recovered,No,Coimbatore
VET0153,Bird,Cockatiel,7,Male,2025-07-03,Vaccination,Vaccination,Dr. Meena,900,1,Recovered,No,Coimbatore
VET0154,Dog,Beagle,10,Female,2026-01-10,Respiratory Infection,Medication,Dr. Rahul,3800,9,Recovered,No,Tiruppur
VET0155,Dog,Labrador,10,Male,2026-02-18,Parasite Infection,Deworming,Dr. Arun,800,2,Recovered,No,Coimbatore
VET0156,Rabbit,Lop,1,Male,2025-10-14,Vaccination,Vaccination,Dr. Meena,1500,1,Recovered,Yes,Coimbatore
VET0157,Cat,Persian,9,Female,2026-08-08,Fracture,Surgery,Dr. Priya,10800,27,Recovered,Yes,Coimbatore
VET0158,Dog,Indian Spitz,2,Female,2026-02-01,Injury,Surgery,Dr. Arun,4500,11,Recovered,No,Coimbatore
VET0159,Cat,Siamese,5,Male,2026-08-28,Digestive Issues,Medication,Dr. Meena,2600,3,Recovered,No,Coimbatore
VET0160,Cat,Siamese,9,Male,2025-03-26,Respiratory Infection,Medication,Dr. Meena,4100,12,Improving,Yes,Coimbatore
VET0161,Dog,Beagle,5,Male,2025-10-27,Skin Infection,Medication,Dr. Priya,3200,10,Recovered,No,Madurai
VET0162,Cat,Indian Shorthair,7,Female,2025-04-27,Fever,Medication,Dr. Meena,1900,2,Recovered,No,Tiruppur
VET0163,Dog,German Shepherd,4,Female,2026-01-08,Skin Infection,Medication,Dr. Karthik,3000,9,Recovered,No,Chennai
VET0164,Dog,Indian Spitz,1,Male,2025-03-31,Respiratory Infection,Medication,Dr. Rahul,2100,7,Recovered,No,Coimbatore
VET0165,Dog,Labrador,10,Female,2025-02-05,Dental Problem,Dental Care,Dr. Arun,3400,7,Improving,Yes,Coimbatore
VET0166,Cat,Maine Coon,6,Female,2025-10-04,Skin Infection,Medication,Dr. Priya,2200,7,Recovered,No,Coimbatore
VET0167,Dog,German Shepherd,1,Female,2025-10-20,Fracture,Surgery,Dr. Meena,12600,32,Improving,Yes,Chennai
VET0168,Cat,Siamese,10,Male,2026-03-15,Respiratory Infection,Medication,Dr. Priya,4000,9,Recovered,No,Chennai
VET0169,Cat,Indian Shorthair,12,Male,2025-06-09,Ear Infection,Medication,Dr. Arun,2700,5,Recovered,No,Chennai
VET0170,Bird,Budgerigar,2,Male,2026-07-08,Dental Problem,Dental Care,Dr. Karthik,6000,2,Recovered,No,Madurai
VET0171,Dog,Pug,8,Male,2025-12-19,Skin Infection,Medication,Dr. Arun,3100,6,Recovered,No,Madurai
VET0172,Cat,Bengal,5,Female,2026-06-23,Skin Infection,Medication,Dr. Karthik,1600,8,Recovered,No,Chennai
VET0173,Dog,Golden Retriever,2,Male,2025-06-21,Fever,Medication,Dr. Meena,1500,2,Follow-up Required,Yes,Coimbatore
VET0174,Cat,Bengal,13,Male,2025-10-30,Vaccination,Vaccination,Dr. Arun,1500,1,Recovered,Yes,Salem
VET0175,Dog,Beagle,3,Female,2026-06-26,Vaccination,Vaccination,Dr. Rahul,700,1,Recovered,Yes,Madurai
VET0176,Cow,Jersey,20,Female,2026-02-10,Parasite Infection,Deworming,Dr. Meena,1600,1,Recovered,No,Madurai
VET0177,Dog,Labrador,13,Female,2025-12-27,Fever,Medication,Dr. Arun,1100,3,Follow-up Required,Yes,Chennai
VET0178,Goat,Jamunapari,4,Female,2025-11-07,Injury,Surgery,Dr. Meena,11900,7,Improving,Yes,Salem
VET0179,Dog,Labrador,2,Male,2025-06-07,Skin Infection,Medication,Dr. Karthik,2700,5,Critical,Yes,Salem
VET0180,Dog,Labrador,3,Female,2025-05-10,Digestive Issues,Medication,Dr. Priya,2100,4,Follow-up Required,Yes,Madurai
VET0181,Goat,Boer,1,Female,2025-04-05,Injury,Surgery,Dr. Rahul,9400,5,Recovered,No,Coimbatore
VET0182,Bird,Cockatiel,5,Female,2026-01-27,Skin Infection,Medication,Dr. Rahul,2400,5,Recovered,No,Chennai
VET0183,Bird,Lovebird,4,Female,2026-03-23,Dental Problem,Dental Care,Dr. Karthik,6400,6,Recovered,No,Coimbatore
VET0184,Cat,Siamese,2,Female,2025-09-10,Injury,Surgery,Dr. Karthik,8600,19,Follow-up Required,Yes,Coimbatore
VET0185,Dog,Beagle,3,Male,2025-03-21,Fever,Medication,Dr. Arun,1100,5,Recovered,No,Coimbatore
VET0186,Dog,Pug,12,Female,2025-08-19,Ear Infection,Medication,Dr. Rahul,2900,8,Critical,Yes,Coimbatore
VET0187,Cat,Indian Shorthair,5,Female,2025-07-02,Digestive Issues,Medication,Dr. Rahul,1500,8,Recovered,Yes,Salem
VET0188,Dog,Pug,5,Female,2025-08-30,Fever,Medication,Dr. Meena,1200,6,Recovered,Yes,Coimbatore
VET0189,Dog,Golden Retriever,4,Female,2025-07-02,Injury,Surgery,Dr. Meena,11400,18,Recovered,No,Madurai
VET0190,Goat,Boer,6,Female,2025-01-21,Digestive Issues,Medication,Dr. Arun,1700,7,Recovered,Yes,Tiruppur
VET0191,Goat,Malabari,10,Female,2025-08-20,Fever,Medication,Dr. Karthik,1500,5,Recovered,No,Chennai
VET0192,Dog,Labrador,8,Male,2026-04-12,Skin Infection,Medication,Dr. Rahul,2000,7,Recovered,No,Coimbatore
VET0193,Cow,Jersey,3,Female,2025-01-17,Skin Infection,Medication,Dr. Priya,3100,7,Improving,Yes,Chennai
VET0194,Bird,Lovebird,7,Male,2026-06-24,Parasite Infection,Deworming,Dr. Priya,1200,3,Recovered,No,Coimbatore
VET0195,Dog,Beagle,8,Female,2025-12-26,Fracture,Surgery,Dr. Meena,9300,16,Recovered,Yes,Madurai
VET0196,Cow,Jersey,18,Female,2025-05-29,Vaccination,Vaccination,Dr. Rahul,1100,1,Recovered,No,Tiruppur
VET0197,Cat,Bengal,10,Male,2025-09-30,Skin Infection,Medication,Dr. Karthik,2400,5,Recovered,No,Chennai
VET0198,Dog,German Shepherd,14,Female,2025-06-21,Vaccination,Vaccination,Dr. Arun,1100,1,Recovered,No,Coimbatore
VET0199,Cat,Indian Shorthair,5,Female,2025-10-29,Respiratory Infection,Medication,Dr. Karthik,4000,11,Recovered,Yes,Coimbatore
VET0200,Cat,Indian Shorthair,13,Male,2026-04-08,Skin Infection,Medication,Dr. Karthik,1900,6,Follow-up Required,Yes,Coimbatore
VET0201,Dog,Indian Spitz,13,Male,2026-05-30,Dental Problem,Dental Care,Dr. Meena,2700,7,Recovered,No,Madurai
VET0202,Cow,Gir,16,Female,2025-05-09,Skin Infection,Medication,Dr. Meena,3300,8,Critical,Yes,Coimbatore
VET0203,Dog,German Shepherd,9,Female,2026-02-09,Ear Infection,Medication,Dr. Rahul,1500,6,Recovered,No,Chennai
VET0204,Cat,Siamese,6,Female,2025-07-28,Respiratory Infection,Medication,Dr. Rahul,3700,10,Improving,Yes,Coimbatore
VET0205,Dog,Golden Retriever,6,Female,2025-07-30,Parasite Infection,Deworming,Dr. Meena,1800,2,Recovered,No,Salem
VET0206,Dog,German Shepherd,5,Female,2026-02-09,Digestive Issues,Medication,Dr. Rahul,1400,8,Recovered,No,Coimbatore
VET0207,Cat,Bengal,3,Female,2025-12-02,Injury,Surgery,Dr. Priya,10300,11,Improving,Yes,Chennai
VET0208,Cat,Bengal,1,Male,2025-07-30,Parasite Infection,Deworming,Dr. Priya,1100,5,Improving,Yes,Madurai
VET0209,Cow,Sahiwal,13,Female,2025-12-16,Injury,Surgery,Dr. Arun,9700,11,Recovered,No,Chennai
VET0210,Cow,Gir,13,Male,2026-02-05,Respiratory Infection,Medication,Dr. Meena,1900,8,Recovered,Yes,Coimbatore
VET0211,Cat,Indian Shorthair,13,Female,2025-02-19,Fever,Medication,Dr. Rahul,1700,4,Recovered,No,Madurai
VET0212,Rabbit,New Zealand White,10,Male,2025-10-29,Vaccination,Vaccination,Dr. Meena,1400,1,Recovered,No,Salem
